Price,Area,Location,sizeRkorBhk,Num_of_bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,Num_of_bathrooms,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Childrensplayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator
4850000,720,Kharghar,bhk,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4500000,600,Kharghar,rk,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6700000,650,Kharghar,rk,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
4500000,650,Kharghar,rk,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0
5000000,665,Kharghar,rk,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17000000,2000,Kharghar,bhk,4,1,1,1,1,1,1,1,0,1,1,0,1,1,4,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
12500000,1550,Kharghar,bhk,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
10500000,1370,Sector-13 Kharghar,bhk,3,1,1,0,0,0,0,1,0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
10500000,1356,Kharghar,bhk,3,1,1,1,1,0,1,1,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15000000,1680,Kharghar,bhk,3,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
8700000,980,Kharghar,bhk,2,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9000000,1000,Kharghar,bhk,2,1,1,1,0,1,0,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
11000000,1060,Kharghar,bhk,2,1,1,1,1,1,0,1,0,1,1,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
10500000,1095,Kharghar,bhk,2,1,1,1,1,1,0,1,1,0,1,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
9700000,1155,Kharghar,bhk,2,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
10500000,1150,Kharghar,bhk,2,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0
8000000,1250,Sector 18 Kharghar,bhk,2,1,1,1,0,1,0,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
8500000,990,Kharghar,bhk,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
9300000,1078,Kharghar,bhk,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
9900000,1150,Kharghar,bhk,2,1,1,1,1,0,1,1,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
8000000,1150,Kharghar,bhk,2,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
9000000,1060,Kharghar,bhk,2,1,1,1,1,1,1,1,0,0,1,0,1,1,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
4200000,680,Kharghar,rk,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28000000,2470,Kharghar,bhk,4,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
40000000,2100,Kharghar,bhk,4,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16000000,2200,Kharghar,bhk,4,1,1,1,1,1,1,1,0,1,1,0,1,1,4,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
17000000,2235,Kharghar,bhk,4,1,1,1,1,0,1,1,1,0,1,0,0,1,4,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
9500000,1025,Kharghar,bhk,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
9500000,950,Kharghar,bhk,2,1,1,1,1,0,1,1,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
7500000,895,Kharghar,rk,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8500000,1114,Kharghar,bhk,2,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
13000000,1197,Kharghar,bhk,2,1,1,1,1,1,0,1,0,1,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0
13700000,1380,Kharghar,bhk,2,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
8000000,1050,Kharghar,bhk,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10500000,1240,Kharghar,bhk,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0
7700000,1110,Kharghar,bhk,2,1,1,1,1,1,1,1,0,0,1,0,0,1,2,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
7500000,1050,Kharghar,bhk,2,1,1,0,0,0,1,1,0,1,1,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9000000,1160,Kharghar,bhk,2,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
9300000,1078,Kharghar,bhk,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
6000000,555,Kharghar,rk,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6200000,650,Kharghar,rk,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
5000000,600,Kharghar,rk,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
6500000,650,Kharghar,rk,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5200000,700,Kharghar,rk,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
4200000,646,Kharghar,rk,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5500000,560,Kharghar,rk,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
5500000,670,Kharghar,rk,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6000000,740,Kharghar,rk,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
5500000,636,Kharghar,rk,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
4200000,680,Kharghar,rk,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16500000,1635,Kharghar,bhk,3,1,1,1,1,1,0,1,0,0,1,1,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
11399999,1550,Kharghar,bhk,3,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
